Eng,Th,Romanized
officer,เจ้าหน้าที่,chaonathi
host,เจ้าภาพ,chaophap
bride,เจ้าสาว,chaosao
princess,เจ้าหญิง,chaoying
catch,จับ,chap
specifically,เฉพาะ,chapho
arrest,จับกุม,chapkum
sudden,ฉับพลัน,chapphlan
grow,เจริญ,charoen
organized,จัด,chat
definite,ชัดเจน,chatchen
obvious,ชัดเจน,chatchen
clear,ชัดเจน,chatchen
supply,จัดหา,chatha
manage,จัดการ,chatkan
deal,จัดการ,chatkan
priority,จัดลำดับความสำคัญ,chatlamdapkhwamsamkhan
shall,จะต้อง,chatong
organize,จัดระเบียบ,chatrabiap
appropriate,จัดสรร,chatsan
as,เช่น,chen
like (find sb/sth pleasant),เช่น (พบ SB / ฏรื่นรมย์),chen phop ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap 
hurt,เจ็บ,chep
painful,เจ็บปวด,cheppuat
seven,เจ็ด,chet
seventy,เจ็ดสิบ,chetsip
slice,ชิ้น,chin
piece,ชิ้น,chin
indeed,จริง,ching
real,จริง,ching
sincere,จริงใจ,chingchai
serious,จริงจัง,chingchang
really,จริงๆ,chingo
imagine,จินตนาการ,chintanakan
imagination,จินตนาการ,chintanakan
chip,ชิป,chip
cheese,ชีส,chit
soul,จิตวิญญาณ,chittawinyan
psychology,จิตวิทยา,chittiwitthaya
painting,จิตรกรรม,chittrakam
painter,จิตรกร,chittrakon
biology,ชีววิทยา,chiwawitthaya
life,ชีวิต,chiwit
invite,เชิญ,choen
negative,เชิงลบ,choenglop
commercial,เชิงพาณิชย์,choengphanit
shock,ช็อก,chok
luck,โชค,chok
lucky,โชคดี,chokdi
fortunately,โชคดี,chokdi
chocolate,ช็อคโกแลต,chokkolaet
fortune,โชคลาภ,choklap
sink,จม,chom
strike,โจมตี,chomti
attack,โจมตี,chomti
crash,ชน,chon
spoon,ช้อน,chon
countryside,ชนบท,chonbot
rural,ชนบท,chonbot
stare,จ้อง,chong
channel,ช่อง,chong
deliberately,จงใจ,chongchai
space,ช่องว่าง,chongwang
gap,ช่องว่าง,chongwang
minority,ชนกลุ่มน้อย,chonklumnoi
till,จนถึง,chonthueng
prefer,ชอบ,chop
screen,จอภาพ,chophap
graduate,จบการศึกษา,chopkansueksa
shopping,ช้อปปิ้ง,chopping
letter,จดหมาย,chotmai
help,ช่วยด้วย,chuaiduai
aid,ช่วยเหลือ,chuailuea
assist,ช่วยเหลือ,chuailuea
temporary,ชั่วคราว,chuakhrao
hour,ชั่วโมง,chuamong
evil,ชั่วร้าย,chuarai
name,ชื่อ,chue
believe,เชื่อ,chuea
obey,เชื่อฟัง,chueafang
rope,เชือก,chueak
string,เชือก,chueak
chain,เชื่อมต่อ,chueamto
fuel,เชื้อเพลิง,chueaphloeng
convinced,เชื่อว่า,chueawa
admire,ชื่นชม,chuenchom
reputation,ชื่อเสียง,chuesiang
celebrity,ชื่อเสียง,chuesiang
community,ชุมชน,chumchon
kiss,จูบ,chup
collection,ชุด,chut
series,ชุด,chut
spot,จุด,chut
point,จุด,chut
set (group),ชุด (กลุ่ม),chut phaklum
set (put),ชุด (ใส่),chut phasai
underwear,ชุดชั้นใน,chutchannai
aim,จุดมุ่งหมาย,chutmungmai
beginning,จุดเริ่มต้น,chutroemton
costume,ชุดแต่งกาย,chuttaengkai
could,ได้,dai
any,ใด,dai
any more,ใด ๆ เพิ่มเติม,dai  choemtoem
diary,ไดอารี่,dai-ari
gain,ได้รับ,dairap
earn,ได้รับ,dairap
obtain,ได้รับ,dairap
get,ได้รับ,dairap
injure,ได้รับบาดเจ็บ,dairapbatchep
correctly,ได้อย่างถูกต้อง,daiyangthuktong
hear,ได้ยิน,daiyin
handle,ด้ามจับ,damchap
side,ด้าน,dan
push,ดัน,dan
industrial,ด้านอุตสาหกรรม,dan-utsahakam
top,ด้านบน,danbon
noisy,ดัง,dang
loud,ดัง,dang
thus,ดังนั้น,dangnan
therefore,ดังนั้น,dangnan
so,ดังนั้น,dangnan
following,ดังต่อไปนี้,dangtopaini
below,ด้านล่าง,danlang
bottom,ด้านล่าง,danlang
front,ด้านหน้า,danna
outside,ด้านนอก,dannok
outer,ด้านนอก,dannok
cultural,ด้านวัฒนธรรม,danwatthanatham
guess,เดา,dao
star,ดาว,dao
planet,ดาวเคราะห์,daokhro
download,ดาวน์โหลด,daolot
satellite,ดาวเทียม,daothiam
kid,เด็ก,dek
child,เด็ก,dek
boy,เด็กผู้ชาย,dekphuchai
apparently,เด่นชัด,denchat
well,ดี,di
nice,ดี,di
good,ดี,di
single,เดียว,diao
tin,ดีบุก,dibuk
glad,ดีใจ,dichai
digital,ดิจิทัล,dichithan
better,ดีกว่า,dikwa
soil,ดิน,din
pencil,ดินสอ,dinso
raw,ดิบ,dip
best,ดีที่สุด,dithisut
DVD,ดีวีดี,diwidi
bet,เดิมพัน,doemphan
walk,เดิน,doen
by,โดย,doi
particularly,โดยเฉพาะ,doichapho
particular,โดยเฉพาะ,doichapho
specific,โดยเฉพาะ,doichapho
especially,โดยเฉพาะอย่างยิ่ง,doichaphoyangying
totally,โดยสิ้นเชิง,doisinchoeng
natural,โดยธรรมชาติ,doithammachat
generally,โดยทั่วไป,doithuapai
direct,โดยตรง,doitrong
directly,โดยตรง,doitrong
flower,ดอกไม้,dokmai
dollar,ดอลลาร์,donla
musical,ดนตรี,dontri
lonely,โดดเดี่ยว,dotdiao
watch,ดู,du
look,ดู,du
see,ดู,du
view,ดู,du
also,ด้วย,duai
together,ด้วยกัน,duaikan
own,ด้วยตัวเอง,duaitua-eng
yourself,ด้วยตัวคุณเอง,duaituakhun-eng
express,ด่วน,duan
sun,ดวงอาทิตย์,duang-athit
moon,ดวงจันทร์,duangchan
month,เดือน,duean
drink,ดื่ม,duem
pull,ดึง,dueng
attract,ดึงดูดใจ,duengdutchai
seem,ดูเหมือน,dumuean
private,เอกชน,ekkhon
identity,เอกลักษณ์,eklak
document,เอกสาร,eksan
farm,ฟาร์ม,fa
fashion,แฟชั่น,faechan
boyfriend,แฟน,faen
girlfriend,แฟน,faen
fan,แฟน,faen
fancy,แฟนซี,faensi
file,ไฟล์,fai
cotton,ฝ้าย,fai
fire,ไฟ,fai
executive,ฝ่ายบริหาร,faiborihan
electricity,ไฟฟ้า,faifa
electrical,ไฟฟ้า,faifa
electric,ไฟฟ้า,faifa
opposition,ฝ่ายค้าน,faikhan
shower,ฝักบัว,fakbua
cap,ฝาครอบ,fakhrop
dream,ฝัน,fan
tooth,ฟัน,fan
listen,ฟัง,fang
function,ฟังก์ชัน,fangchan
bury,ฝังศพ,fangsop
nightmare,ฝันร้าย,fanrai
film,ฟิล์ม,fi
lip,ฝีปาก,fipak
physics,ฟิสิกส์,fisik
flash,แฟลช,flaet
furniture,เฟอร์นิเจอร์,foenichoe
focus,โฟกัส,fokat
rain,ฝน,fon
bubble,ฟอง,fong
free,ฟรี,fri
dust,ฝุ่น,fun
dirt,ฝุ่น,fun
crowd,ฝูงชน,fungchon
football,ฟุตบอล,futbon
soccer,ฟุตบอล,futbon
find,หา,ha
five,ห้า,ha
venue,แห่ง,haeng
dry,แห้ง,haeng
national,แห่งชาติ,haengchat
provide,ให้,hai
give,ให้,hai
breathe,หายใจ,haichai
educate,ให้ความรู้,haikhwamru
highlight,ไฮไลท์,hailai
silk,ไหม,haimai
missing,หายไป,haipai
disappear,หายไป,haipai
would,หากว่า,hakwa
ban,ห้าม,ham
divide,หาร,han
tail,หาง,hang
remote,ห่างไกล,hangklai
far,ห่างไกล,hangklai
mall,ห้างสรรพสินค้า,hangsapphasinkha
fifty,ห้าสิบ,hasip
rare,หายาก,hayak
hey,เฮ้,he
apparent,เห็นได้ชัด,hendaichat
event,เหตุการณ์,hetkan
reason,เหตุผล,hetphon
snow,หิมะ,hima
stone,หิน,hin
shelf,หิ้ง,hing
hungry,หิว,hio
wrap,ห่อ,ho
six,หก,hok
tower,หอคอย,hokhoi
hockey,ฮอกกี้,hokki
sixty,หกสิบ,hoksip
room,ห้อง,hong
bathroom,ห้องอาบน้ำ,hong-apnam
toilet,ห้องน้ำ,hongnam
bedroom,ห้องนอน,hongnon
lab,ห้องปฏิบัติการ,hongpatibattan
laboratory,ห้องปฏิบัติการ,hongpatibattan
classroom,ห้องเรียน,hongrian
library,ห้องสมุด,hongsamut
hall,ห้องโถง,hongthong
vote,โหวต,hot
depressed,หดหู่,hothu
cruel,โหดร้าย,hotrai
ear,หู,hu
old-fashioned,หัวโบราณ,huaboran
heart,หัวใจ,huachai
onion,หัวหอม,huahom
title,หัวข้อ,huakho
topic,หัวข้อเรื่อง,huakhorueang
chief,หัวหน้า,huana
leader,หัวหน้า,huana
laugh,หัวเราะ,huaro
share,หุ้น,hun
partner,หุ้นส่วน,hunsuan
robot,หุ่นยนต์,hunyon
valley,หุบเขา,hupkhao
again,อีกครั้ง,ikkhrang
electronic,อิเล็กทรอนิกส์,ilekthon-anik
mail,อีเมล,imen
email,อีเมล,imen
internet,อินเทอร์เน็ต,inthoenet
independent,อิสระ,isara
sheep,แกะ,kae
solve,แก้,kae
correct,แก้ไข,kaekhai
fix,แก้ไข,kaekhai
resolve,แก้ไข,kaekhai
alter,แก้ไข,kaekhai
edit,แก้ไข,kaekhai
revise,แก้ไขใหม่,kaekhaimai
fixed,แก้ไขแล้ว,kaekhlaeo
core,แกน,kaen
gang,แก๊ง,kaeng
gas,แก๊ส,kaet
coffee,กาแฟ,kafae
chicken,ไก่,kai
physical,กายภาพ,kaiphap
sailor,กะลาสี,kalasi
rid,กำจัด,kamchat
committee,กรรมการ,kammakan
birth,กำเนิด,kamnoet
determine,กำหนด,kamnot
impose,กำหนด,kamnot
define,กำหนด,kamnot
custom,กำหนดเอง,kamnot-eng
profit,กำไร,kamrai
reading,การอ่าน,kan-an
reference,การอ้างอิง,kan-ang-ing
approval,การอนุมัติ,kan-anumat
permission,การอนุญาต,kan-anunat
bath,การอาบน้ำ,kan-apnam
prayer,การอธิษฐาน,kan-athitthan
departure,การออกเดินทาง,kan-okdoenthang
fitness,การออกกำลังกาย,kan-okkamlangkai
exercise,การออกกำลังกาย,kan-okkamlangkai
training,การอบรม,kan-oprom
homework,การบ้าน,kanban
entertainment,การบันเทิง,kanbanthoeng
recording,การบันทึก,kanbanthuek
flying,การบิน,kanbin
administration,การบริหาร,kanborihan
pay,การจ่ายเงิน,kanchai-ngoen
spending,การใช้จ่าย,kanchaichai
payment,การชำระเงิน,kanchamra-ngoen
employment,การจ้าง,kanchang
matching,การจับคู่,kanchapkhu
capture,การจับกุม,kanchapkum
traffic,การจราจร,kancharachon
growth,การเจริญเติบโต,kancharoentoepto
arrangement,การจัดการ,kanchatkan
management,การจัดการ,kanchatkan
organizer,การจัดงาน,kanchatngan
delivery,การจัดส่ง,kanchatsong
preparation,การจัดเตรียม,kanchattriam
illness,การเจ็บป่วย,kancheppuai
reservation,การจองห้องพัก,kanchonghongphak
connect,การเชื่อมต่อ,kanchueamto
hearing,การได้ยิน,kandaiyin
living,การดำรงชีวิต,kandamrongchiwit
existence,การดำรงอยู่,kandamrongyu
sailing,การเดินเรือ,kandoenruea
trip,การเดินทาง,kandoenthang
expedition,การเดินทาง,kandoenthang
journey,การเดินทาง,kandoenthang
care,การดูแล,kandulae
pants,กางเกง,kangkeng
trousers,กางเกง,kangkeng
jeans,กางเกงยีนส์,kangkengyin
worry,กังวล,kangwon
concern,กังวล,kangwon
worried,กังวล,kangwon
breathing,การหายใจ,kanhaichai
competition,การแข่งขัน,kankhaengkhan
competitive,การแข่งขัน,kankhaengkhan
race (competition),การแข่งขัน (แข่งขัน),kankhaengkhan phakhaengkhan
race (people),การแข่งขัน (คน),kankhaengkhan phakhano
match (contest/correspond),การแข่งขัน (การประกวด / ตรง),kankhaengkhan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan p
racing,การแข่งรถ,kankhaengrot
sale,การขาย,kankhai
entry,การเข้า,kankhao
reach,การเข้าถึง,kankhaothueng
driving,การขับรถ,kankhaprot
housing,การเคหะ,kankheha
writing,การเขียน,kankhian
movement,การเคลื่อนไหว,kankhlueanwai
discovery,การค้นพบ,kankhonphop
ad,การโฆษณา,kankhosana
Advertising,การโฆษณา,kankhosana
Advertisement,การโฆษณา,kankhosana
threat,การคุกคาม,kankhukkham
construction,การก่อสร้าง,kankosang
distribution,การกระจาย,kankrachai
offence,การกระทำผิดกฎหมาย,kankrathamphitkotmai
charity,การกุศล,kankuson
narrative,การเล่าเรื่อง,kanlaorueang
hunting,การล่าสัตว์,kanlasat
skiing,การเล่นสกี,kanlensaki
register,การลงทะเบียน,kanlongthabian
punishment,การลงโทษ,kanlongthot
investment,การลงทุน,kanlongthun
reduction,การลดลง,kanlotlong
selection,การเลือก,kanlueak
election,การเลือกตั้ง,kanlueaktang
arrival,การมาถึง,kanmathueng
presence,การมี,kanmi
assignment,การมอบหมาย,kanmopmai
politics,การเมือง,kanmueang
mine (hole in the ground),การเหมืองแร่ (หลุมในดิน),kanmueangrae  hlumnaidino
mine (belongs to me),การเหมืองแร่ (เป็นของฉัน),kanmueangrae phepenkhongchan
finance,การเงิน,kanngoen
financial,การเงิน,kanngoen
practise,การปฏิบัติ,kanpatibat
practice,การปฏิบัติ,kanpatibat
revolution,การปฏิวัติ,kanpatiwat
Adventure,การผจญภัย,kanphachonphai
consideration,การพิจารณา,kanphicharana
printing,การพิมพ์,kanphim
produce,การผลิต,kanphlit
production,การผลิต,kanphlit
carry,การพกพา,kanphokpha
spread,การแพร่กระจาย,kanphraekrachai
speech,การพูด,kanphut
talk,การพูดคุย,kanphutkhui
translation,การแปล,kanplae
transition,การเปลี่ยนแปลง,kanplianplaeng
opening,การเปิด,kanpoet
protection,การป้องกัน,kanpongkan
conference,การประชุม,kanprachum
invention,การประดิษฐ์,kanpradit
announcement,การประกาศ,kanprakat
appearance,การปรากฏ,kanprakot
contest,การประกวด,kanprakuat
assessment,การประเมินผล,kanpramoenphon
improvement,การปรับปรุง,kanprapprung
comparison,การเปรียบเทียบ,kanpriapthiap
cooking,การปรุงอาหาร,kanprung-ahan
explosion,การระเบิด,kanraboet
funding,การระดมทุน,kanradomthun
treatment,การรักษา,kanraksa
therapy,การรักษาด้วย,kanraksaduai
learning,การเรียนรู้,kanrianru
singing,การร้องเพลง,kanrongphleng
complaint,การร้องเรียน,kanrongrian
combination,การรวมกัน,kanruamkan
expression,การแสดงออก,kansadaeng-ok
washing,การซัก,kansak
scan,การสแกน,kansakaen
spelling,การสะกดคำ,kansakotkham
exploration,การสำรวจ,kansamruat
contribution,การสนับสนุน,kansanapsanun
creation,การสร้าง,kansang
observation,การสังเกต,kansangket
presentation,การเสนอ,kansanoe
teaching,การสอน,kanson
conversation,การสนทนา,kansonthana
exam,การสอบ,kansop
enquiry,การสอบสวน,kansopsuan
education,การศึกษา,kansueksa
educated,การศึกษา,kansueksa
communication,การสื่อสาร,kansuesan
loss,การสูญเสีย,kansunsia
marriage,การแต่งงาน,kantaengngan
appointment,การแต่งตั้ง,kantaengtang
marketing,การตลาด,kantalat
setting,การตั้งค่า,kantangkha
judgement,การตัดสิน,kantatsin
decision,การตัดสิน,kantatsin
dancing,การเต้นรำ,kantenram
shot,การถ่ายภาพ,kanthaiphap
photography,การถ่ายภาพ,kanthaiphap
farming,การทำฟาร์ม,kanthamfam
working,การทำงาน,kanthamngan
operation,การทำงาน,kanthamngan
tour,การท่องเที่ยว,kanthongthiao
tourism,การท่องเที่ยว,kanthongthiao
travel,การท่องเที่ยว,kanthongthiao
trial,การทดลอง,kanthotlong
experiment,การทดลอง,kanthotlong
infection,การติดเชื้อ,kantitchuea
struggle,การต่อสู้,kantosu
battle,การต่อสู้,kantosu
argument,การโต้เถียง,kantothiang
examination,การตรวจสอบ,kantruatsop
swim,การว่ายน้ำ,kanwainam
unemployment,การว่างงาน,kanwangngan
planning,การวางแผน,kanwangphaen
measurement,การวัด,kanwat
drawing,การวาดภาพ,kanwatphap
analysis,การวิเคราะห์,kanwikhro
divorced,การหย่าร้าง,kanyarang
September,กันยายน,kanyayon
shooting,การยิง,kanying
old,เก่า,kao
pace,ก้าว,kao
nine,เก้า,kao
chair,เก้าอี้,kao-i
aggressive,ก้าวร้าว,kaorao
ninety,เก้าสิบ,kaosip
with,กับ,kap
captain,กัปตัน,kaptan
please,กรุณา,karuna
king,กษัตริย์,kasatri
retire,เกษียณอายุ,kasian-ayu
bite,กัด,kat
grateful,กตัญญู,katanyu
cartoon,การ์ตูน,katun
poet,กวี,kawi
game,เกม,kem
criterion,เกณฑ์,ken
keep,เก็บ,kep
collect,เก็บ,kep
store,เก็บ,kep
maintain,เก็บรักษา,kepraksa
leg,ขา,kha
trade,ค้า,kha
neither,ค่า,kha
kill,ฆ่า,kha
expense,ค่าใช้จ่าย,khachaichai
charge,ค่าใช้จ่าย,khachaichai
mean,ค่าเฉลี่ย,khachalia
wage,ค่าจ้าง,khachang
just,แค่,khae
guest,แขก,khaek
camping,แคมป์ปิ้ง,khaemping
arm,แขน,khaen
stiff,แข็ง,khaeng
freeze,แข็ง,khaeng
compete,แข่งขัน,khaengkhan
healthy,แข็งแรง,khaengraeng
strong,แข็งแรง,khaengraeng
narrow,แคบ,khaep
cafe,คาเฟ่,khafe
camp,ค่าย,khai
sell,ขาย,khai
egg,ไข่,khai
flu,ไข้หวัดใหญ่,khaiwatyai
across,ข้าม,kham
cross,ข้าม,kham
word,คำ,kham
quotation,คำอ้างอิง,kham-ang-ing
explanation,คำอธิบาย,kham-athibai
lecture,คำบรรยาย,khambanyai
invitation,คำเชิญ,khamchoen
statement,คำให้การ,khamhaikan
promise,คำมั่นสัญญา,khammansanya
Advice,คำแนะนำ,khamnaenam
instruction,คำแนะนำ,khamnaenam
Noun,คำนาม,khamnam
definition,คำนิยาม,khamniyam
calculate,คำนวณ,khamnuan
regard,คำนึงถึง,khamnuengthueng
thief,ขโมย,khamoi
steal,ขโมย,khamoi
command,คำสั่ง,khamsang
question,คำถาม,khamtham
response,คำตอบ,khamtop
warning,คำเตือน,khamtuean
criticism,คำวิจารณ์,khamwichan
finding,คำวินิจฉัย,khamwinitchai
bowl,ขัน,khan
moment,ขณะ,khana
score,คะแนน,khanaen
board,คณะกรรมการ,khanakammakan
commission,คณะกรรมาธิการ,khanakammathikan
size,ขนาด,khanat
scale,ขนาด,khanat
tiny,ขนาดเล็ก,khanatlek
above,ข้างบน,khangbon
downstairs,ข้างล่าง,khanglang
forward,ข้างหน้า,khangna
mathematics,คณิตศาสตร์,khanitsat
bread,ขนมปัง,khanompang
basic,ขั้นพื้นฐาน,khanphuenthan
minimum,ขั้นต่ำ,khantam
procedure,ขั้นตอน,khanton
step,ขั้นตอน,khanton
he,เขา,khao
knee,เข่า,khao
rice,ข้าว,khao
news,ข่าว,khao
him,เขา,khao
white,ขาว,khao
knock,เคาะ,khao
understand,เข้าใจ,khaochai
outline,เค้าโครง,khaokhrong
approach,เข้าใกล้,khaoklai
into,เข้าไป,khaopai
access,เข้าไป,khaopai
stay,เข้าพัก,khaophak
respect,เคารพ,khaorop
attend,เข้าร่วม,khaoruam
message,ข่าวสาร,khaosan
enter,เข้าสู่,khaosu
desk,เคาน์เตอร์,khaotoe
drive,ขับรถ,khaprot
offend,ขัดใจ,khatchai
interrupt,ขัดจังหวะ,khatchangwa
fee,ค่าธรรมเนียม,khathamniam
murder,ฆาตกรรม,khatkam
prediction,คาดการณ์,khatkan
expect,คาดหวัง,khatwang
conflict,ขัดแย้ง,khatyaeng
refuse,ขยะ,khaya
expand,ขยายตัว,khayaitua
rubbish,ขยะมูลฝอย,khayamunfoi
cake,เค้ก,khek
needle,เข็ม,khem
chemistry,เคมี,khemi
belt,เข็มขัด,khemkhat
intense,เข้มข้น,khemkhon
strict,เข้มงวด,khemnguat
county,เขต,khet
tropical,เขตร้อน,khetron
write,เขียน,khian
written,เขียน,khian
lazy,ขี้เกียจ,khikiat
queue,คิว,khio
think,คิด,khit
comment,คิดเห็น,khithen
invent,คิดค้น,khitkhon
maximum,ขีดสุด,khitsut
similar,คล้ายคลึงกัน,khlaikhluengkan
stock,คลังสินค้า,khlangsinkha
classical,คลาสสิก,khlatsik
classic,คลาสสิก,khlatsik
trick,เคล็ดลับ,khletlap
click,คลิก,khlik
mud,โคลน,khlon
active,คล่องแคล่ว,khlongkhlaeo
flexible,คล่องตัว,khlongtua
wave,คลื่น,khluen
neck,คอ,kho
beg,ขอ,kho
ever,เคย,khoei
used to,เคย,khoei
text,ข้อความ,khokhwam
column,คอลัมน์,kholam
bitter,ขม,khom
sharp,คม,khom
lamp,โคมไฟ,khomfai
computer,คอมพิวเตอร์,khomphiotoe
information,ข้อมูล,khomun
data,ข้อมูล,khomun
insight,ข้อมูลเชิงลึก,khomunchoengluek
profile,ข้อมูลส่วนตัว,khomunsuantua
feather,ขน,khon
people,คน,khon
person,คน,khon
fur,ขน,khon
