Eng,Th,Romanized
qualification,คุณสมบัติ,khunsombat
doctor,คุณหมอ,khunmo
familiar,คุ้นเคย,khunkhoei
worth,คุ้มค่า,khumkha
multiply,คูณ,khun
couple,คู่,khu
pair,คู่,khu
twin,คู่,khu
guide,คู่มือ,khumue
opponent,คู่แข่ง,khukhaeng
competitor,คู่แข่ง,khukhaeng
somewhat,ค่อนข้าง,khonkhang
rather,ค่อนข้าง,khonkhang
gradually,ค่อยๆ,khoyo
neither,ค่า,kha
wage,ค่าจ้าง,khachang
fee,ค่าธรรมเนียม,khathamniam
camp,ค่าย,khai
mean,ค่าเฉลี่ย,khachalia
charge,ค่าใช้จ่าย,khachaichai
expense,ค่าใช้จ่าย,khachaichai
discover,ค้นพบ,khonphop
search,ค้นหา,khonha
trade,ค้า,kha
murder,ฆาตกรรม,khatkam
kill,ฆ่า,kha
budget,งบ,ngop
task,งาน,ngan
work,งาน,ngan
job,งาน,ngan
hobby,งานอดิเรก,ngan-adirek
celebration,งานเฉลิมฉลอง,nganchaloemchalong
festival,งานเทศกาล,nganthetkan
wedding,งานแต่งงาน,ngantaengngan
exhibition,งานแสดงนิทรรศการ,ngansadaengnithatsakan
snake,งู,ngu
easy,ง่าย,ngai
simple,ง่าย,ngai
simply,ง่ายดาย,ngaidai
deliberately,จงใจ,chongchai
letter,จดหมาย,chotmai
until,จนกระทั่ง,chankrathang
till,จนถึง,chonthueng
graduate,จบการศึกษา,chopkansueksa
sink,จม,chom
nose,จมูก,chamuk
indeed,จริง,ching
real,จริง,ching
serious,จริงจัง,chingchang
sincere,จริงใจ,chingchai
really,จริงๆ,chingo
screen,จอภาพ,chophap
will,จะ,cha
shall,จะต้อง,chatong
bike,จักรยาน,chakkrayan
universe,จักรวาล,chakkrawan
rhythm,จังหวะ,changwa
organized,จัด,chat
manage,จัดการ,chatkan
deal,จัดการ,chatkan
organize,จัดระเบียบ,chatrabiap
priority,จัดลำดับความสำคัญ,chatlamdapkhwamsamkhan
appropriate,จัดสรร,chatsan
supply,จัดหา,chatha
catch,จับ,chap
arrest,จับกุม,chapkum
from,จาก,chak
dish,จาน,chan
plate,จาน,chan
disc,จาน,chan
remember,จำ,cham
recall,จำ,cham
limit,จำกัด,chamkat
amount,จำนวน,chamnuan
number,จำนวน,chamnuan
lot,จำนวนมาก,chamnuanmak
many,จำนวนมาก,chamnuanmak
vital,จำเป็น,champen
necessary,จำเป็น,champen
require,จำเป็นต้อง,champentong
painter,จิตรกร,chittrakon
painting,จิตรกรรม,chittrakam
soul,จิตวิญญาณ,chittawinyan
psychology,จิตวิทยา,chittiwitthaya
imagination,จินตนาการ,chintanakan
imagine,จินตนาการ,chintanakan
spot,จุด,chut
point,จุด,chut
aim,จุดมุ่งหมาย,chutmungmai
beginning,จุดเริ่มต้น,chutroemton
kiss,จูบ,chup
afford,จ่าย,chai
stare,จ้อง,chong
hire,จ้าง,chang
employ,จ้าง,chang
edition,ฉบับ,chabap
celebrate,ฉลอง,chalong
label,ฉลาก,chalak
clever,ฉลาด,chalat
wise,ฉลาด,chalat
smart,ฉลาด,chalat
intelligent,ฉลาด,chalat
sudden,ฉับพลัน,chapphlan
scene,ฉาก,chak
crash,ชน,chon
minority,ชนกลุ่มน้อย,chonklumnoi
rural,ชนบท,chonbot
countryside,ชนบท,chonbot
win,ชนะ,chana
type,ชนิด,chanit
kind(type),ชนิด (ชนิด),chanit botchanit
kind(caring),ชนิด (ดูแล),chanit phadulae
prefer,ชอบ,chop
persuade,ชักชวน,chakchuan
clear,ชัดเจน,chatchen
definite,ชัดเจน,chatchen
obvious,ชัดเจน,chatchen
victory,ชัยชนะ,chaichana
weigh,ชั่งน้ำหนัก,changnamnak
temporary,ชั่วคราว,chuakhrao
evil,ชั่วร้าย,chuarai
hour,ชั่วโมง,chuamong
layer,ชั้น,chan
class,ชั้น,chan
floor,ชั้น,chan
level,ชั้น,chan
leading,ชั้นนำ,channam
upstairs,ชั้นบน,chanbon
tea,ชา,cha
male,ชาย,chai
man,ชาย,chai
coast,ชายฝั่ง,chaifang
beach,ชายหาด,chaihat
border,ชายแดน,chaidaen
farmer,ชาวนา,chaona
settle,ชำระ,chamra
chip,ชิป,chip
piece,ชิ้น,chin
slice,ชิ้น,chin
biology,ชีววิทยา,chiwawitthaya
life,ชีวิต,chiwit
cheese,ชีส,chit
admire,ชื่นชม,chuenchom
name,ชื่อ,chue
celebrity,ชื่อเสียง,chuesiang
reputation,ชื่อเสียง,chuesiang
series,ชุด,chut
collection,ชุด,chut
set (group),ชุด (กลุ่ม),chut phaklum
set (put),ชุด (ใส่),chut phasai
underwear,ชุดชั้นใน,chutchannai
costume,ชุดแต่งกาย,chuttaengkai
community,ชุมชน,chumchon
shock,ช็อก,chok
chocolate,ช็อคโกแลต,chokkolaet
help,ช่วยด้วย,chuaiduai
assist,ช่วยเหลือ,chuailuea
aid,ช่วยเหลือ,chuailuea
channel,ช่อง,chong
gap,ช่องว่าง,chongwang
space,ช่องว่าง,chongwang
photographer,ช่างภาพ,changphap
spoon,ช้อน,chon
shopping,ช้อปปิ้ง,chopping
slowly,ช้า,cha
slow,ช้า,cha
elephant,ช้าง,chang
software,ซอฟต์แวร์,sopwae
sauce,ซอส,sot
complex,ซับซ้อน,sapson
complicated,ซับซ้อน,sapson
appreciate,ซาบซึ้ง,sapsueng
pale,ซีด,sit
CD,ซีดี,sidi
based,ซึ่งเป็นรากฐาน,suengpenrakthan
honest,ซื่อสัตย์,suesat
purchase,ซื้อ,sue
buy,ซื้อ,sue
acquire,ซื้อ,sue
soup,ซุป,sup
supermarket,ซุปเปอร์มาร์เก็ต,suppoemaket
hide,ซ่อน,son
repair,ซ่อมแซม,somsaem
left,ซ้าย,sai
repeated,ซ้ำแล้วซ้ำอีก,samlaeosam-ik
relative,ญาติ,yat
base,ฐาน,than
musical,ดนตรี,dontri
moon,ดวงจันทร์,duangchan
sun,ดวงอาทิตย์,duang-athit
flower,ดอกไม้,dokmai
dollar,ดอลลาร์,donla
loud,ดัง,dang
noisy,ดัง,dang
following,ดังต่อไปนี้,dangtopaini
so,ดังนั้น,dangnan
therefore,ดังนั้น,dangnan
thus,ดังนั้น,dangnan
push,ดัน,dan
star,ดาว,dao
download,ดาวน์โหลด,daolot
planet,ดาวเคราะห์,daokhro
satellite,ดาวเทียม,daothiam
digital,ดิจิทัล,dichithan
soil,ดิน,din
pencil,ดินสอ,dinso
raw,ดิบ,dip
good,ดี,di
nice,ดี,di
well,ดี,di
better,ดีกว่า,dikwa
best,ดีที่สุด,dithisut
tin,ดีบุก,dibuk
DVD,ดีวีดี,diwidi
glad,ดีใจ,dichai
pull,ดึง,dueng
attract,ดึงดูดใจ,duengdutchai
drink,ดื่ม,duem
view,ดู,du
watch,ดู,du
see,ดู,du
look,ดู,du
seem,ดูเหมือน,dumuean
express,ด่วน,duan
also,ด้วย,duai
together,ด้วยกัน,duaikan
yourself,ด้วยตัวคุณเอง,duaituakhun-eng
own,ด้วยตัวเอง,duaitua-eng
side,ด้าน,dan
outside,ด้านนอก,dannok
outer,ด้านนอก,dannok
top,ด้านบน,danbon
below,ด้านล่าง,danlang
bottom,ด้านล่าง,danlang
cultural,ด้านวัฒนธรรม,danwatthanatham
front,ด้านหน้า,danna
industrial,ด้านอุตสาหกรรม,dan-utsahakam
handle,ด้ามจับ,damchap
fall,ตก,tok
depressing,ตกต่ำ,toktam
OK,ตกลง,toklong
agree,ตกลง,toklong
decorate,ตกแต่ง,toktaeng
shocked,ตกใจ,tokchai
myself,ตนเอง,ton-eng
self,ตนเอง,ton-eng
policeman,ตร.,toro
straight,ตรง,trong
opposite,ตรงข้าม,trongkham
logical,ตรรกะ,tanka
detect,ตรวจจับ,truachap
investigation,ตรวจสอบ,truatsop
examine,ตรวจสอบ,truatsop
check,ตรวจสอบ,truatsop
realize,ตระหนัก,tranak
humorous,ตลก,talok
funny,ตลก,talok
through,ตลอด,talot
throughout,ตลอด,talot
forever,ตลอดไป,talotpai
market,ตลาด,talat
episode,ตอน,ton
early,ตอนต้น,tonton
now,ตอนนี้,tonni
afternoon,ตอนบ่าย,tonbai
morning,ตอนเช้า,tonchao
evening,ตอนเย็น,tonyen
reply,ตอบ,top
answer,ตอบ,top
respond,ตอบสนอง,topsanong
lead,ตะกั่ว,takua
western,ตะวันตก,tawantok
cut,ตัด,tat
decide,ตัดสิน,tatsin
character,ตัวละคร,tualakhon
instance,ตัวอย่าง,tuayyang
sample,ตัวอย่าง,tuayyang
