Eng,Th,Romanized
annoyed,รำคาญ,ramkhan
annoying,น่ารำคาญ,naramkhan
annual,ประจำปี,prachampi
another,อื่น,uen
answer,ตอบ,top
anxious,กระวนกระวาย,krawankrawai
any,ใด,dai
any more,ใด ๆ เพิ่มเติม,dai  choemtoem
anybody,ใคร ๆ,khrai  si
anyone,ใคร ๆ,khrai  si
anything,สิ่งใด,singdai
anyway,อย่างไรก็ตาม,yangraikotam
anywhere,ทุกแห่ง,thukhaeng
apart,ต่างหาก,tanghak
apartment,อพาร์ทเม้น,aphatmen
apologize,ขอโทษ,khothot
app,แอป,aep
apparent,เห็นได้ชัด,hendaichat
apparently,เด่นชัด,denchat
appeal,อุทธรณ์,utthon
appear,ปรากฏ,prakot
appearance,การปรากฏ,kanprakot
apple,แอปเปิ้ล,aeppoen
application,ใบสมัคร,baisamakkhon
apply,ใช้,chai
appointment,การแต่งตั้ง,kantaengtang
appreciate,ซาบซึ้ง,sapsueng
approach,เข้าใกล้,khaoklai
appropriate,จัดสรร,chatsan
approval,การอนุมัติ,kan-anumat
approve,อนุมัติ,anumat
approximately,ประมาณ,praman
architect,สถาปนิก,sathapanik
architecture,สถาปัตยกรรม,sathapattayakam
area,พื้นที่,phuenthi
argue,เถียง,thiang
argument,การโต้เถียง,kantothiang
arise,เกิดขึ้น,koetkhuen
arm,แขน,khaen
armed,อาวุธ,awut
arms,อาวุธ,awut
army,กองทัพบก,kongthapbok
around,รอบ,rop
arrange,เตรียมการ,triamkan
arrangement,การจัดการ,kanchatkan
arrest,จับกุม,chapkum
arrival,การมาถึง,kanmathueng
arrive,มาถึง,mathueng
art,ศิลปะ,sinlapa
article,บทความ,botkhwam
artificial,เทียม,thiam
artist,ศิลปิน,sinlapin
artistic,ศิลปะ,sinlapa
as,เช่น,chen
ashamed,ละอายใจ,la-aichai
ask,ถาม,tham
asleep,นอนหลับ,nonlap
aspect,แง่มุม,ngaemum
assess,ประเมินผล,pramoenphon
assessment,การประเมินผล,kanpramoenphon
assignment,การมอบหมาย,kanmopmai
assist,ช่วยเหลือ,chuailuea
assistant,ผู้ช่วย,phuchuai
associate,ที่เกี่ยวข้อง,thikiaokhong
associated,ที่เกี่ยวข้อง,thikiaokhong
association,สมาคม,samakhom
assume,สมมติ,sammti
at,ที่,thi
athlete,นักกีฬา,nakkila
atmosphere,บรรยากาศ,banyakat
attach,แนบ,naep
attack,โจมตี,chomti
attempt,พยายาม,phayayam
attend,เข้าร่วม,khaoruam
attention,ความสนใจ,khwamsonchai
attitude,ท่าที,thathi
attract,ดึงดูดใจ,duengdutchai
attraction,เสน่ห์,sane
attractive,มีเสน่ห์,misene
audience,ผู้ชม,phuchom
aunt,ป้า,pa
author,ผู้เขียน,phukhian
authority,อำนาจ,amnat
autumn,ฤดูใบไม้ร่วง,ruedubaimairuang
available,ใช้ได้,chaidai
average,เฉลี่ย,chalia
avoid,หลีกเลี่ยงการ,likliangkan
award,รางวัล,rangwan
aware,ทราบ,sap
away,ไป,pai
awful,น่ากลัว,naklua
baby,ทารก,tharok
back,กลับ,klap
background,พื้นหลัง,phuenlang
backwards,ย้อนกลับ,yonklap
bacteria,แบคทีเรีย,baekthiria
bad,ไม่ดี,maidi
badly,ไม่ดี,maidi
bag,ถุง,thung
bake,อบ,op
balance,สมดุล,somdun
ball,ลูกบอล,lukbon
ban,ห้าม,ham
banana,กล้วย,kluai
band,วงดนตรี,wongdontri
bank (money),ธนาคาร (เงิน),thanakhan pha-ngoeno
bank (river),ธนาคาร (แม่น้ำ),thanakhan phamaenam
bar,บาร์,ba
barrier,อุปสรรค,upsak
base,ฐาน,than
baseball,กีฬาเบสบอล,kilabetbon
based,ซึ่งเป็นรากฐาน,suengpenrakthan
basic,ขั้นพื้นฐาน,khanphuenthan
basically,เป็นพื้น,penphuen
basis,รากฐาน,rakthan
basketball,บาสเกตบอล,batketbon
bath,การอาบน้ำ,kan-apnam
bathroom,ห้องอาบน้ำ,hong-apnam
battery,แบตเตอรี่,baettoeri
battle,การต่อสู้,kantosu
be,เป็น,pen
beach,ชายหาด,chaihat
bean,ถั่ว,thua
bear (animal),หมี (สัตว์),mi phasat
bear (deal with),หมี (ข้อตกลงกับ),mi phokklongkap
beat,ตี,ti
beautiful,สวย,suai
beauty,ความงาม,khwamngam
because,เพราะ,phro
become,กลายเป็น,klaipen
bed,เตียง,tiang
bedroom,ห้องนอน,hongnon
bee,ผึ้ง,phueng
beef,เนื้อวัว,nueawua
beer,เบียร์,bia
before,ก่อน,kon
beg,ขอ,kho
begin,เริ่ม,roem
beginning,จุดเริ่มต้น,chutroemton
behave,ประพฤติ,praphriti
behaviour,พฤติกรรม,phruetikam
behind,หลัง,lang
being,ความเป็นอยู่,khwampenyu
belief,ความเชื่อ,khwamchuea
believe,เชื่อ,chuea
bell,กระดิ่ง,krading
belong,เป็นของ,penkhong
below,ด้านล่าง,danlang
belt,เข็มขัด,khemkhat
bend,โค้ง,khong
benefit,ประโยชน์,prayot
bent,ก้ม,kom
best,ดีที่สุด,dithisut
bet,เดิมพัน,doemphan
better,ดีกว่า,dikwa
between,ระหว่าง,rawang
beyond,เกิน,koen
bicycle,รถจักรยาน,rotchakrayan
big,ใหญ่,yai
bike,จักรยาน,chakkrayan
bill,บิล,bin
billion number,พันล้านหมายเลข,phanlanmailek
bin,ถัง,thang
biology,ชีววิทยา,chiwawitthaya
bird,นก,nok
birth,กำเนิด,kamnoet
birthday,วันเกิด,wankoet
biscuit,สีน้ำตาลอ่อน,sinamtan-on
bit,นิดหน่อย,nitnoi
bite,กัด,kat
bitter,ขม,khom
black,สีดำ,sidam
blame,ตำหนิ,tamni
blank,ว่างเปล่า,wangplao
blind,ตาบอด,tabot
block,บล็อก,blok
blog,บล็อก,blok
blonde,สีบลอนด์,siplon
blood,เลือด,lueat
blow,ระเบิด,raboet
blue,สีน้ำเงิน,sinamngoen
board,คณะกรรมการ,khanakammakan
boat,เรือ,ruea
body,ร่างกาย,rangkai
boil,ต้ม,tom
bomb,วางระเบิด,wangraboet
bond,พันธบัตร,phanthabat
bone,กระดูก,kraduk
book,หนังสือ,nangsue
boot,รองเท้า,rongthao
border,ชายแดน,chaidaen
bored,เบื่อ,buea
boring,น่าเบื่อ,nabuea
born,เกิด,koet
borrow,ยืม,yuem
boss,นาย,nai
both,ทั้งสอง,thangsong
bother,ตื๊อ,tue
bottle,ขวด,khuat
bottom,ด้านล่าง,danlang
bowl,ขัน,khan
box,กล่อง,klong
boy,เด็กผู้ชาย,dekphuchai
boyfriend,แฟน,faen
brain,สมอง,samong
branch,สาขา,sakha
brand,ยี่ห้อ,yiho
brave,กล้าหาญ,klahan
bread,ขนมปัง,khanompang
break,หยุดพัก,yutphak
breakfast,อาหารเช้า,ahanchao
breast,เต้านม,taonom
breath,ลมหายใจ,lomhaichai
breathe,หายใจ,haichai
breathing,การหายใจ,kanhaichai
bride,เจ้าสาว,chaosao
bridge,สะพาน,saphan
brief,สั้น,san
bright,สดใส,sotsai
brilliant,สุกใส,suksai
bring,นำมาซึ่ง,nammasueng
broad,กว้าง,kwang
broadcast,ออกอากาศ,ok-akat
broken,เสีย,sia
brother,พี่ชาย,phichai
brown,สีน้ำตาล,sinamtan
brush,แปรง,praeng
bubble,ฟอง,fong
budget,งบ,ngop
build,สร้าง,sang
building,อาคาร,akhan
bullet,กระสุน,krasun
bunch,พวง,phuang
burn,เผา,phao
bury,ฝังศพ,fangsop
bus,รถบัส,rotbat
bush,พุ่มไม้,phummai
business,ธุรกิจ,thurakit
businessman,นักธุรกิจ,nakthurakit
busy,ไม่ว่าง,maiwang
but,แต่,tae
butter,เนย,noei
button,ปุ่ม,pum
buy,ซื้อ,sue
by,โดย,doi
bye,บาย,bai
cable,สายเคเบิล,saikheboen
cafe,คาเฟ่,khafe
cake,เค้ก,khek
calculate,คำนวณ,khamnuan
call,โทร,thon
calm,เงียบสงบ,ngiapsa-ngop
camera,กล้อง,klong
camp,ค่าย,khai
campaign,รณรงค์,ranarong
camping,แคมป์ปิ้ง,khaemping
campus,วิทยาเขต,witthayakhet
can1,can1,rari 
can2,Can2,rarok
cancel,ยกเลิก,yokloek
cancer,โรคมะเร็ง,rokmareng
candidate,ผู้สมัคร,phusamakkhon
cannot,ไม่ได้,maidai
cap,ฝาครอบ,fakhrop
capable,สามารถ,samat
capacity,ความจุ,khwamchu
capital,เมืองหลวง,mueangluang
captain,กัปตัน,kaptan
capture,การจับกุม,kanchapkum
car,รถยนต์,rothon
card,บัตร,bat
care,การดูแล,kandulae
career,อาชีพ,achip
careful,ระมัดระวัง,ramatrawang
carefully,รอบคอบ,ropkhop
careless,ประมาท,pramat
carpet,พรม,phrom
carrot,แครอท,khraet
carry,การพกพา,kanphokpha
cartoon,การ์ตูน,katun
case,กรณี,korani
cash,เงินสด,ngoensot
cast,หล่อ,lo
castle,ปราสาท,prasat
cat,แมว,maeo
catch,จับ,chap
category,ประเภท,praphet
cause,สาเหตุ,sahet
ceiling,เพดาน,phedan
celebrate,ฉลอง,chalong
celebration,งานเฉลิมฉลอง,nganchaloemchalong
celebrity,ชื่อเสียง,chuesiang
cell,เซลล์,sen
cent,ร้อย,roi
central,ศูนย์กลาง,sunklang
centre,ศูนย์,sun
century,ศตวรรษ,satawat
ceremony,พิธี,phithi
certain,แน่นอน,naenon
certainly,อย่างแน่นอน,yangnaenon
chain,เชื่อมต่อ,chueamto
chair,เก้าอี้,kao-i
chairman,ประธาน,prathan
challenge,ท้าทาย,thathai
champion,แชมป์,chaem
chance,โอกาส,okat
change,เปลี่ยนแปลง,plianplaeng
channel,ช่อง,chong
chapter,บท,bot
character,ตัวละคร,tualakhon
characteristic,ลักษณะเฉพาะ,laksanachapho
charge,ค่าใช้จ่าย,khachaichai
charity,การกุศล,kankuson
chart,แผนภูมิ,phaenphum
chat,พูดคุย,phutkhui
cheap,ถูก,thuk
cheat,โกง,kong
check,ตรวจสอบ,truatsop
cheerful,ร่าเริง,raroeng
cheese,ชีส,chit
chef,พ่อครัว,phokhrua
chemical,สารเคมี,sankhemi
chemistry,เคมี,khemi
chest,หน้าอก,na-ok
chicken,ไก่,kai
chief,หัวหน้า,huana
child,เด็ก,dek
childhood,วัยเด็ก,waidek
chip,ชิป,chip
chocolate,ช็อคโกแลต,chokkolaet
choice,ทางเลือก,thanglueak
choose,เลือก,lueak
church,โบสถ์,bot
cigarette,บุหรี่,buri
cinema,โรงภาพยนตร์,rongphapphayon
circle,วงกลม,wongklom
circumstance,สถานการณ์,sathankan
cite,อ้างอิง,ang-ing
citizen,พลเมือง,phonmueang
city,เมือง,mueang
civil,พลเรือน,phonruean
claim,ข้อเรียกร้อง,khoriakrong
class,ชั้น,chan
classic,คลาสสิก,khlatsik
classical,คลาสสิก,khlatsik
classroom,ห้องเรียน,hongrian
clause,ประโยค,prayok
clean,สะอาด,sa-at
clear,ชัดเจน,chatchen
clearly,อย่างเห็นได้ชัด,yanghendaichat
clever,ฉลาด,chalat
click,คลิก,khlik
client,ลูกค้า,lukkha
climate,ภูมิอากาศ,phum-akat
climb,ปีนขึ้นไป,pinkhuenpai
clock,นาฬิกา,nalika
close1,close1,yorarai a
close2,close2,yairorok
closed,ปิด,pit
closely,อย่างใกล้ชิด,yangklaichit
cloth,ผ้า,pha
clothes,เสื้อผ้า,sueapha
clothing,เสื้อผ้า,sueapha
cloud,เมฆ,mek
club,สโมสร,samoson
clue,เงื่อนงำ,ngueanngam
coach,โค้ช,khot
coal,ถ่านหิน,thanhin
coast,ชายฝั่ง,chaifang
coat,เสื้อโค้ท,sueakhot
code,รหัส,rahat
coffee,กาแฟ,kafae
coin,เหรียญ,rian
cold,เย็น,yen
collapse,ล่มสลาย,lomsalai
colleague,เพื่อนร่วมงาน,phueanruamngan
collect,เก็บ,kep
collection,ชุด,chut
college,วิทยาลัย,witthayalai
colour,สี,si
coloured,มีสี,misi
column,คอลัมน์,kholam
combination,การรวมกัน,kanruamkan
combine,รวมกัน,ruamkan
come,มา,ma
comedy,ความขบขัน,khwamkhopkhan
comfort,ความสบายใจ,khwamsabaichai
comfortable,สบาย,sabai
command,คำสั่ง,khamsang
comment,คิดเห็น,khithen
commercial,เชิงพาณิชย์,choengphanit
commission,คณะกรรมาธิการ,khanakammathikan
commit,ผูกมัด,phukmat
commitment,ความมุ่งมั่น,khwammungman
committee,กรรมการ,kammakan
common,ร่วมกัน,ruamkan
commonly,อย่างธรรมดา,yangthammada
communicate,สื่อสาร,suesan
communication,การสื่อสาร,kansuesan
community,ชุมชน,chumchon
company,บริษัท,borisat
compare,เปรียบเทียบ,priapthiap
comparison,การเปรียบเทียบ,kanpriapthiap
compete,แข่งขัน,khaengkhan
competition,การแข่งขัน,kankhaengkhan
competitive,การแข่งขัน,kankhaengkhan
competitor,คู่แข่ง,khukhaeng
complain,บ่น,bon
complaint,การร้องเรียน,kanrongrian
complete,สมบูรณ์,sombun
completely,อย่างสมบูรณ์,yangsombun
complex,ซับซ้อน,sapson
complicated,ซับซ้อน,sapson
component,ส่วนประกอบ,suanprakop
computer,คอมพิวเตอร์,khomphiotoe
concentrate,สมาธิ,samathi
concentration,สมาธิ,samathi
concept,แนวคิด,naeokhit
concern,กังวล,kangwon
concerned,ที่เกี่ยวข้อง,thikiaokhong
concert,คอนเสิร์ต,khonsoet
conclude,เอาเป็นว่า,aopenwa
conclusion,ข้อสรุป,khosarup
condition,เงื่อนไข,ngueankhai
conduct,ความประพฤติ,khwampraphriti
conference,การประชุม,kanprachum
confidence,ความมั่นใจ,khwammanchai
confident,มั่นใจ,manchai
confirm,ยืนยัน,yuenyan
conflict,ขัดแย้ง,khatyaeng
confuse,สับสน,sapson
confused,สับสน,sapson
confusing,ทำให้เกิดความสับสน,thamhaikoetkhwamsapson
connect,การเชื่อมต่อ,kanchueamto
connected,เกี่ยวข้อง,kiaokhong
connection,สัมพันธ์,samphan
conscious,มีสติอยู่,misatiyu
consequence,ผลพวง,phonphuang
conservative,อนุรักษนิยม,anuraksaniyom
consider,พิจารณา,phicharana
consideration,การพิจารณา,kanphicharana
consist,ประกอบด้วย,prakopduai
consistent,คงเส้นคงวา,khongsenkhongwa
constant,คงที่,khongthi
constantly,อย่างสม่ำเสมอ,yangsamsamoe
construct,สร้าง,sang
construction,การก่อสร้าง,kankosang
consume,บริโภค,boriphok
consumer,ผู้บริโภค,phuboriphok
contact,ติดต่อ,titto
contain,บรรจุ,banchu
container,ภาชนะ,phachana
contemporary,ร่วมสมัย,ruamsamai
content,เนื้อหา,nueaha
contest,การประกวด,kanprakuat
context,บริบท,boribot
continent,ทวีป,thawip
continue,ต่อ,to
continuous,ต่อเนื่องกัน,tonueangkan
contract,สัญญา,sanya
contrast,ความคมชัด,khwamkhomchat
contribute,สนับสนุน,sanapsanun
contribution,การสนับสนุน,kansanapsanun
control,ควบคุม,khuapkhum
convenient,สะดวกสบาย,saduaksabai
conversation,การสนทนา,kansonthana
convert,แปลง,plaeng
convince,โน้มน้าวใจ,nomnaochai
convinced,เชื่อว่า,chueawa
cook,ปรุงอาหาร,prung-ahan
cooker,เตา,tao
cooking,การปรุงอาหาร,kanprung-ahan
cool,เย็น,yen
copy,สำเนา,samnao
core,แกน,kaen
corner,มุม,mum
corporate,องค์กร,ongkon
correct,แก้ไข,kaekhai
correctly,ได้อย่างถูกต้อง,daiyangthuktong
cost,ราคา,rakha
costume,ชุดแต่งกาย,chuttaengkai
cottage,กระท่อม,krathom
cotton,ฝ้าย,fai
could,ได้,dai
council,สภา,sapha
count,นับ,nap
country,ประเทศ,prathet
countryside,ชนบท,chonbot
county,เขต,khet
couple,คู่,khu
courage,ความกล้าหาญ,khwamklahan
course,หลักสูตร,laksut
court,ศาล,san
cousin,ลูกพี่ลูกน้อง,lukphiluknong
cover,ปก,pok
covered,ปกคลุม,pokkhlum
cow,วัว,wua
crash,ชน,chon
crazy,บ้า,ba
cream,ครีม,khrim
create,สร้าง,sang
creation,การสร้าง,kansang
creative,ความคิดสร้างสรรค์,khwamkhitsangsan
creature,สัตว์,sat
credit,เครดิต,khredit
crew,พวกลูกเรือ,phuaklukruea
crime,อาชญากรรม,atyakam
criminal,อาชญากร,atyakon
crisis,วิกฤติ,wikriti
criterion,เกณฑ์,ken
critic,นักวิจารณ์,nakwichan
critical,วิกฤติ,wikriti
criticism,คำวิจารณ์,khamwichan
criticize,วิจารณ์,wichan
crop,พืชผล,phuetphon
cross,ข้าม,kham
crowd,ฝูงชน,fungchon
crowded,แออัด,ae-at
crucial,สำคัญมาก,samkhanmak
cruel,โหดร้าย,hotrai
cry,ร้องไห้,ronghai
cultural,ด้านวัฒนธรรม,danwatthanatham
culture,วัฒนธรรม,watthanatham
cup,ถ้วย,thuai
cupboard,ตู้,tu
cure,รักษา,raksa
curly,หยิก,yik
currency,เงินตรา,ngoentra
current,ปัจจุบัน,patchuban
currently,ปัจจุบัน,patchuban
curtain,ม่าน,man
curve,เส้นโค้ง,senkhong
curved,โค้ง,khong
custom,กำหนดเอง,kamnot-eng
customer,ลูกค้า,lukkha
cut,ตัด,tat
cycle,วงจร,wongchon
dad,พ่อ,pho
daily,ประจำวัน,prachamwan
damage,ความเสียหาย,khwamsiahai
dance,เต้นรำ,tenram
dancer,นาฏ,nat
dancing,การเต้นรำ,kantenram
danger,อันตราย,antrai
dangerous,เป็นอันตราย,pen-antrai
dark,มืด,muet
data,ข้อมูล,khomun
date,วันที่,wanthi
daughter,ลูกสาว,luksao
day,วัน,wan
dead,ตาย,tai
deal,จัดการ,chatkan
dear,ที่รัก,thirak
death,ความตาย,khwamtai
debate,อภิปราย,aphiprai
debt,หนี้สิน,nisin
decade,ทศวรรษ,thosawat
decent,เหมาะสม,mosom
decide,ตัดสิน,tatsin
decision,การตัดสิน,kantatsin
declare,ประกาศ,prakat
decline,ลดลง,lotlong
decorate,ตกแต่ง,toktaeng
decoration,เครื่องประดับ,khrueangpradap
decrease,ลดลง,lotlong
deep,ลึก,luek
deeply,ลึก,luek
defeat,ความพ่ายแพ้,khwamphaiphae
defence,ป้องกัน,pongkan
defend,ป้องกัน,pongkan
define,กำหนด,kamnot
definite,ชัดเจน,chatchen
definitely,อย่างแน่นอน,yangnaenon
definition,คำนิยาม,khamniyam
degree,ระดับ,radap
delay,ความล่าช้า,khwamlacha
deliberate,พิจารณา,phicharana
deliberately,จงใจ,chongchai
delicious,อร่อย,oi
delight,สุข,suk
delighted,ยินดี,yindi
deliver,ส่งมอบ,songmop
delivery,การจัดส่ง,kanchatsong
demand,ความต้องการ,khwamtongkan
demonstrate,สาธิต,sathit
dentist,ทันตแพทย์,thantaphaet
deny,ปฏิเสธ,patiset
department,สาขา,sakha
departure,การออกเดินทาง,kan-okdoenthang
depend,ขึ้นอยู่กับ,khuenyukap
depressed,หดหู่,hothu
depressing,ตกต่ำ,toktam
depth,ความลึก,khwamluek
describe,อธิบาย,athibai
description,ลักษณะ,laksana
desert,ทะเลทราย,thalesai
deserve,สมน้ำสมเนื้อ,somnamsomnuea
design,ออกแบบ,okbaep
designer,นักออกแบบ,nak-okbaep
desire,ความต้องการ,khwamtongkan
desk,เคาน์เตอร์,khaotoe
desperate,หมดหวัง,motwang
despite,แม้จะมี,maechami
destination,ปลายทาง,plaithang
destroy,ทำลาย,thamlai
detail,รายละเอียด,raila-iat
detailed,รายละเอียด,raila-iat
detect,ตรวจจับ,truachap
detective,นักสืบ,naksuep
determine,กำหนด,kamnot
determined,มุ่งมั่น,mungman
develop,พัฒนา,phatthana
development,พัฒนาการ,phatthanakan
device,เครื่อง,khrueang
diagram,แผนภาพ,phaenphap
dialogue,บทสนทนา,botsonthana
diamond,เพชร,phet
diary,ไดอารี่,dai-ari
dictionary,พจนานุกรม,photchananukrom
die,ตาย,tai
diet,อาหาร,ahan
difference,ข้อแตกต่าง,khotaektang
different,ต่าง,tang
differently,ต่างกัน,tangkan
difficult,ยาก,yak
difficulty,ความยาก,khwamyak
dig,ขุด,khut
digital,ดิจิทัล,dichithan
dinner,อาหารเย็น,ahanyen
direct,โดยตรง,doitrong
direction,ทิศทาง,thitthang
directly,โดยตรง,doitrong
director,ผู้อำนวยการ,phu-amnuaikan
dirt,ฝุ่น,fun
dirty,สกปรก,sokprok
disagree,ไม่เห็นด้วย,maihenduai
disappear,หายไป,haipai
disappointed,ผิดหวัง,phitwang
disappointing,ที่น่าผิดหวัง,thinaphitwang
disaster,ภัยพิบัติ,phaiphibat
disc,จาน,chan
discipline,วินัย,winai
discount,ส่วนลด,suanlot
discover,ค้นพบ,khonphop
discovery,การค้นพบ,kankhonphop
discuss,สนทนา,sonthana
discussion,อภิปรายผล,aphipraiphon
disease,โรค,rok
dish,จาน,chan
dishonest,ไม่สุจริต,maisutcharit
dislike,ไม่ชอบ,maichop
dismiss,ยกเลิก,yokloek
display,แสดง,sadang
distance,ระยะทาง,rayathang
distribute,กระจาย,krachai
distribution,การกระจาย,kankrachai
district,อำเภอ,amphoe
divide,หาร,han
division,แผนก,phaenek
divorced,การหย่าร้าง,kanyarang
do,ทำ,tham
doctor,คุณหมอ,khunmo
document,เอกสาร,eksan
documentary,สารคดี,sarokhadi
dog,หมา,ma
dollar,ดอลลาร์,donla
domestic,ในประเทศ,naiprathet
dominate,ครอง,khrong
donate,บริจาค,borichak
door,ประตู,pratu
double,สอง,song
doubt,สงสัย,songsai
down,ลง,long
download,ดาวน์โหลด,daolot
downstairs,ข้างล่าง,khanglang
downwards,ลงต่ำ,longtam
dozen,โหล,lo
draft,ร่าง,rang
drag,ลาก,lak
drama,ละคร,lakhon
dramatic,น่าทึ่ง,nathueng
draw,วาด,wat
drawing,การวาดภาพ,kanwatphap
dream,ฝัน,fan
dress,แต่งตัว,taengtua
dressed,แต่งตัว,taengtua
drink,ดื่ม,duem
drive,ขับรถ,khaprot
driver,คนขับรถ,khonkhaprot
driving,การขับรถ,kankhaprot
drop,หล่น,lon
drug,ยา,ya
drum,กลอง,klong
drunk,เมา,mao
dry,แห้ง,haeng
due,ครบกำหนด,khropkamnot
during,ในระหว่าง,nairawang
dust,ฝุ่น,fun
duty,หน้าที่,nathi
each,แต่ละ,taela
ear,หู,hu
early,ตอนต้น,tonton
earn,ได้รับ,dairap
earth,โลก,lok
earthquake,แผ่นดินไหว,phaendinwai
easily,อย่างง่ายดาย,yangngaidai
east,ทางทิศตะวันออก,thangthittawan-ok
eastern,ทางตะวันออก,thangtawan-ok
easy,ง่าย,ngai
eat,กิน,kin
economic,เศรษฐกิจ,setthakit
economy,เศรษฐกิจ,setthakit
edge,ขอบ,khop
edit,แก้ไข,kaekhai
edition,ฉบับ,chabap
editor,บรรณาธิการ,bannathikan
educate,ให้ความรู้,haikhwamru
educated,การศึกษา,kansueksa
education,การศึกษา,kansueksa
